업체(시설)명,지도점검일자,점검사항,지도점검구분,소재지주소
협동염색,20160615,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 473번지 
삼성세차장,20160614,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효자동 60-1번지 
제이에스쥬얼리,20160613,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 연지동 105번지 
와이스미스,20160613,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 인의동 50-2번지 
케이와이쥬얼리,20160613,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 연지동 125번지 
제일사,20160613,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 연지동 184번지 
태평양염색,20160608,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 444-3번지 1층 
종로염색,20160608,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
J.R공방,20160607,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 인의동 48-8번지 
지온 공방,20160607,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 인의동 19번지 
민쥬얼리,20160607,발생폐수 적정보관 및 위탁여부,정기,서울특별시 성북구 길음동 1281번지 
대성섬유,20160526,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 충신동 207-13번지 
반도염색,20160525,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
한국섬유,20160525,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 460-1번지 
세검정셀프세차타운,20160517,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 부암동 185-1번지 
월드염색,20160512,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 239-29번지 
삼성세차장,20160511,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효자동 60-1번지 
